Symbol
AAPL
MSFT
GOOGL
AMZN
META
NVDA
BRK-B
UNH
XOM
LLY
JPM
V
MA
HD
PG
CVX
AVGO
COST
JNJ
MRK
PEP
ABBV
KO
BAC
ADBE
WMT
NFLX
CRM
TMO
LIN
TXN
PFE
ABT
CSCO
ACN
AMD
MCD
DHR
INTC
INTU
QCOM
LOW
AMGN
PM
HON
AMAT
BMY
IBM
GE
GS
CAT
NOW
BA
ISRG
BKNG
MDT
RTX
BLK
SPGI
PLD
DE
AMT
SYK
LMT
SCHW
MS
ADI
GILD
AMAT
MU
ETN
ONTO
IONQ
